Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Average Daily Member Count,Create Date
2022,30,Baltimore City,0240,Graceland Park/O'Donnell Heights Elementary/Middle,Middle,24.3,47,10.9,21,13.4,26,193.3,20221114
2022,30,Baltimore City,0240,Graceland Park/O'Donnell Heights Elementary/Middle,All,22.0,139,11.4,72,10.6,67,632.0,20221114
2022,30,Baltimore City,0241,Fallstaff Elementary/Middle,Elementary,31.2,98,13.4,42,17.8,56,313.9,20221114
2022,30,Baltimore City,0241,Fallstaff Elementary/Middle,Middle,28.5,52,13.2,24,15.4,28,182.2,20221114
2022,30,Baltimore City,0241,Fallstaff Elementary/Middle,All,30.2,150,13.3,66,16.9,84,496.1,20221114
2022,30,Baltimore City,0242,Northwood Elementary,Elementary,21.2,103,9.3,45,12.0,58,485.0,20221114
2022,30,Baltimore City,0243,Armistead Gardens Elementary/Middle,Elementary,19.7,86,9.4,41,10.3,45,436.6,20221114
2022,30,Baltimore City,0243,Armistead Gardens Elementary/Middle,Middle,20.2,48,11.0,26,9.3,22,237.3,20221114
2022,30,Baltimore City,0243,Armistead Gardens Elementary/Middle,All,19.9,134,9.9,67,9.9,67,673.9,20221114
2022,30,Baltimore City,0245,Leith Walk Elementary/Middle,Elementary,19.3,114,8.1,48,11.2,66,591.1,20221114
2022,30,Baltimore City,0245,Leith Walk Elementary/Middle,Middle,20.7,75,9.4,34,11.3,41,362.8,20221114
2022,30,Baltimore City,0245,Leith Walk Elementary/Middle,All,19.8,189,8.6,82,11.2,107,954.0,20221114
2022,30,Baltimore City,0246,Beechfield Elementary/Middle,Elementary,36.2,140,16.0,62,20.2,78,387.0,20221114
2022,30,Baltimore City,0246,Beechfield Elementary/Middle,Middle,34.7,73,18.1,38,16.6,35,210.3,20221114
2022,30,Baltimore City,0246,Beechfield Elementary/Middle,All,35.7,213,16.7,100,18.9,113,597.4,20221114
2022,30,Baltimore City,0247,Cross Country Elementary/Middle,Elementary,22.3,81,6.9,25,15.4,56,362.7,20221114
2022,30,Baltimore City,0247,Cross Country Elementary/Middle,Middle,24.8,64,7.4,19,17.5,45,257.7,20221114
2022,30,Baltimore City,0247,Cross Country Elementary/Middle,All,23.4,145,7.1,44,16.3,101,620.5,20221114
2022,30,Baltimore City,0248,Sinclair Lane Elementary,Elementary,37.0,93,14.3,36,22.7,57,251.6,20221114
